jogador,time,posicao,Minutos,GA,SoTA,Saves,Saves%,Clean Sheet,Clean Sheet%,PSxG,PSxG+/-,Passes Att,Passes Launch%,Passes AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Éverson,Atlético Mineiro,GK,990,10,40,30,75.0,6,54.5,12.3,2.3,350,37.1,34.3,129,5,3.9,22,2.0,19.2
Marcos Felipe,Bahia,GK,702,7,31,24,83.9,3,42.9,9.5,2.5,239,23.0,28.4,137,7,5.1,13,1.67,15.6
John,Botafogo (RJ),GK,990,7,37,29,81.1,6,54.5,9.9,2.9,342,26.3,31.0,152,8,5.3,6,0.55,13.0
Fernando Miguel,Ceará,GK,657,7,32,25,84.4,3,42.9,8.4,1.4,168,51.8,39.5,148,9,6.1,9,1.23,13.0
Cássio,Cruzeiro,GK,990,8,47,38,83.0,5,45.5,11.8,3.8,139,40.3,36.7,164,4,2.4,6,0.55,13.9
Agustín Rossi,Flamengo,GK,990,4,31,25,87.1,8,72.7,5.5,1.5,278,25.2,29.1,125,7,5.6,9,0.82,13.7
Fábio,Fluminense,GK,990,12,38,26,68.4,3,27.3,10.6,-1.4,163,23.3,28.3,155,7,4.5,3,0.27,12.0
João Ricardo Riedi,Fortaleza,GK,990,15,59,43,74.6,5,45.5,16.6,1.6,246,39.0,34.7,144,9,6.3,12,1.09,15.9
Tiago Volpi,Grêmio,GK,990,14,48,34,79.2,3,27.3,17.8,3.8,259,48.3,40.0,193,9,4.7,8,0.73,12.4
Anthoni,Internacional,GK,945,16,35,20,57.1,2,20.0,10.7,-4.3,165,35.2,33.2,106,4,3.8,14,1.33,14.9
Wéverton,Palmeiras,GK,990,8,33,24,78.8,5,45.5,9.8,1.8,240,47.1,39.6,148,11,7.4,12,1.09,16.0
Cleiton Schwengber,RB Bragantino,GK,900,8,38,30,78.9,5,50.0,9.2,1.2,230,27.8,31.6,184,9,4.9,5,0.5,10.2
Gabriel Brazão,Santos,GK,990,12,46,34,73.9,3,27.3,10.6,-1.4,182,39.6,34.2,154,3,1.9,8,0.73,13.3
Caíque França,Sport Recife,GK,990,18,49,32,69.4,2,18.2,15.7,-1.3,196,27.6,31.7,141,9,6.4,10,0.91,14.3
Rafael Pires,São Paulo,GK,990,11,39,29,79.5,3,27.3,13.0,3.0,187,47.1,38.5,189,4,2.1,9,0.82,14.7
Léo Jardim,Vasco da Gama,GK,990,15,37,25,59.5,2,18.2,11.5,-0.5,236,26.7,31.4,192,11,5.7,6,0.55,10.8
Lucas Arcanjo,Vitória,GK,900,12,54,42,77.8,1,10.0,14.6,2.6,237,30.0,32.1,165,13,7.9,5,0.5,10.1
