jogador,time,posicao,idade,Minutos,G-PK,Assist,Xg,xAG,xG+xAg,Prgc,PrgP,Cross,Faltas Sofridas,KeyPass,1/3,passPA,crossPA,Dribles tentados,Dribles Certos,Corridas 1/3,Corridas PA,PrgR
Gustavo Scarpa,Atlético Mineiro,"MF,FW",31-151,868,0,1,0.7,2.4,3.2,18,70,83,16,33,53,21,6,6,0,9,2,38
Hulk,Atlético Mineiro,"FW,MF",38-315,822,0,2,1.8,2.0,3.0,18,17,31,22,21,9,6,2,27,13,12,9,78
Rony,Atlético Mineiro,"FW,MF",30-025,921,3,0,3.6,0.2,3.8,14,18,19,19,6,9,4,0,12,3,14,4,67
Tomás Cuello,Atlético Mineiro,"FW,MF",25-092,673,1,0,1.7,0.6,2.2,39,37,15,15,16,19,13,1,49,27,24,17,85
Caio Alexandre,Bahia,MF,26-101,651,0,1,0.1,1.0,1.2,5,47,7,7,6,51,6,1,9,5,10,1,9
Erick Pulga,Bahia,"FW,MF",24-246,769,2,2,2.6,1.6,4.2,56,16,22,26,7,6,6,2,40,20,22,21,82
Jean Lucas,Bahia,MF,26-348,622,0,0,0.9,1.1,2.1,16,22,6,8,5,10,4,0,11,10,13,3,28
Artur,Botafogo (RJ),"FW,MF",27-110,777,2,3,1.9,0.7,2.5,31,32,21,12,12,16,12,3,33,17,15,14,84
Gregore,Botafogo (RJ),MF,31-095,863,0,0,0.2,0.2,0.4,7,60,5,8,5,74,4,1,5,3,8,1,10
Igor Jesus,Botafogo (RJ),FW,24-100,875,3,1,2.5,1.3,3.8,15,21,4,26,15,13,5,1,10,5,14,4,51
Marlon Freitas,Botafogo (RJ),MF,30-070,928,1,2,0.2,0.4,0.6,7,74,5,5,13,73,15,2,2,1,12,0,12
Antonio Galeano,Ceará,FW,25-075,910,1,0,0.9,0.4,1.3,22,22,25,26,5,19,7,5,17,1,13,5,55
Dieguinho,Ceará,MF,29-217,967,0,2,0.0,0.7,0.8,5,28,0,30,4,25,2,0,20,13,6,0,3
Fernando Sobral,Ceará,MF,30-170,726,0,0,0.0,0.2,0.3,3,34,12,8,7,28,4,1,7,4,3,1,8
Lucas Mugni,Ceará,MF,33-144,709,1,4,0.3,2.1,2.4,6,27,47,9,18,25,8,4,29,16,7,2,30
Pedro Raul,Ceará,FW,28-212,909,5,0,4.1,1.6,4.9,4,16,3,14,11,17,3,0,10,4,6,3,33
André Carrillo,Corinthians,MF,33-356,611,0,0,0.1,1.4,1.5,16,42,20,6,13,45,7,3,14,7,11,2,48
Breno,Corinthians,MF,20-105,742,0,1,0.1,0.5,0.6,13,52,4,25,9,43,4,2,14,5,11,1,23
Memphis,Corinthians,FW,31-112,630,3,3,3.6,1.5,4.3,10,29,31,12,14,20,9,0,16,6,7,4,52
Raniele,Corinthians,MF,28-156,626,0,0,0.1,0.4,0.5,5,23,0,16,4,15,1,0,10,4,7,0,7
Yuri Alberto,Corinthians,FW,24-079,726,4,1,4.0,0.9,4.1,11,10,1,10,8,9,3,1,12,7,6,5,49
Christian,Cruzeiro,FW,24-168,691,1,1,1.0,1.4,2.5,5,20,10,12,9,14,3,0,16,5,6,0,53
Kaio Jorge,Cruzeiro,FW,23-132,784,8,2,6.3,1.1,6.6,16,14,9,16,12,5,5,0,23,10,8,9,57
Lucas Romero,Cruzeiro,MF,31-048,853,1,1,0.2,0.3,0.4,4,41,5,16,6,41,4,0,18,7,5,1,4
Lucas Silva,Cruzeiro,MF,32-109,795,1,2,0.5,0.4,1.0,11,53,1,8,8,43,5,0,11,5,10,1,4
Matheus Pereira,Cruzeiro,MF,29-031,707,2,1,1.3,1.2,2.5,14,36,45,32,20,38,12,4,15,6,13,4,42
Wanderson,Cruzeiro,"FW,MF",30-241,774,0,0,1.2,1.3,2.5,18,15,32,4,16,9,13,7,35,19,9,9,43
Erick Pulgar,Flamengo,MF,31-141,652,1,0,0.2,0.3,0.5,1,29,9,7,5,44,4,0,4,3,4,0,7
Gerson,Flamengo,"FW,MF",28-016,711,0,2,0.7,1.6,2.3,11,60,4,20,13,36,17,1,15,7,10,5,45
Giorgian De Arrascaeta,Flamengo,MF,31-004,679,8,4,3.4,1.7,4.3,18,36,39,15,14,32,10,1,21,13,16,3,83
Jhon Arias,Fluminense,FW,27-257,989,0,4,2.0,2.4,3.6,42,50,62,32,28,37,21,10,58,26,33,7,86
Martinelli,Fluminense,MF,24-026,947,1,1,1.5,1.2,2.6,12,55,2,15,11,45,7,0,14,4,5,4,12
Juan Martín Lucero,Fortaleza,FW,33-187,683,3,1,3.2,2.1,4.5,2,11,3,7,10,8,3,0,2,0,1,2,30
Lucas Sasha,Fortaleza,MF,35-096,657,0,0,0.2,0.0,0.3,8,20,9,7,1,19,2,0,6,0,0,3,19
Dodi,Grêmio,MF,29-049,691,0,0,0.1,0.0,0.1,5,22,0,17,2,25,0,0,9,4,7,0,1
Martin Braithwaite,Grêmio,FW,34-000,744,1,1,3.1,0.3,1.8,3,19,1,11,10,12,4,0,14,4,3,4,34
Mathías Villasanti,Grêmio,MF,28-132,739,0,0,0.1,0.2,0.3,8,26,3,6,6,36,1,0,16,11,4,1,4
Alan Patrick,Internacional,"MF,FW",34-023,643,1,4,1.7,4.0,4.8,9,48,46,8,33,47,13,0,18,9,12,4,30
Wesley,Internacional,"FW,MF",26-067,673,0,2,0.6,0.6,1.2,27,21,15,21,6,10,8,3,32,16,15,9,57
Enmerson Batalla,Juventude,"FW,MF",23-340,815,3,1,1.0,0.5,1.6,15,18,29,17,10,10,5,3,35,8,18,5,49
Jadson,Juventude,MF,31-279,891,0,1,0.5,0.4,0.9,4,38,7,14,9,33,6,1,12,5,5,0,27
Luis Mandaca,Juventude,"MF,FW",23-246,700,1,0,0.7,0.3,1.0,13,21,5,17,10,16,3,0,18,6,10,1,25
Danielzinho,Mirassol,"MF,FW",30-213,990,0,1,0.9,1.1,1.9,14,65,14,22,22,58,9,1,9,2,6,0,43
Neto Moura,Mirassol,MF,28-303,644,0,0,0.1,0.1,0.2,1,43,2,4,3,54,4,1,2,2,2,0,7
Emiliano Martínez,Palmeiras,MF,25-292,605,1,0,0.3,0.3,0.5,5,21,0,6,3,21,2,0,8,3,3,1,1
Estêvão Willian,Palmeiras,"MF,FW",18-042,831,0,3,1.2,2.0,3.1,48,34,63,22,24,19,10,2,66,21,34,25,93
Facundo Torres,Palmeiras,"MF,FW",25-053,634,2,1,1.5,1.0,2.4,10,31,26,6,11,15,11,5,12,4,9,0,36
Richard Ríos,Palmeiras,MF,25-003,643,0,2,0.6,0.7,1.3,9,29,22,21,7,26,4,1,20,6,9,1,22
Eduardo Sasha,RB Bragantino,"FW,MF",33-101,816,2,1,3.6,0.9,4.5,14,22,4,12,14,13,5,0,13,4,8,7,56
Eric Ramires,RB Bragantino,MF,24-299,673,1,1,0.6,0.3,0.9,4,35,3,8,6,30,0,0,10,8,8,4,20
Gabriel,RB Bragantino,MF,32-330,799,1,0,0.1,0.3,0.4,6,42,2,11,5,38,5,0,4,2,6,2,8
Jhonatan Jowjow,RB Bragantino,"MF,FW",22-269,865,2,1,1.1,3.4,4.5,29,60,54,20,37,32,24,2,51,26,17,4,48
Lucas Barbosa,RB Bragantino,FW,24-103,600,0,2,1.2,0.3,1.4,11,13,8,9,2,9,3,0,11,5,9,3,41
Vinicius Mendonça,RB Bragantino,FW,21-105,643,0,2,0.5,0.6,1.1,26,17,10,24,6,16,3,1,42,14,15,13,58
Benjamín Rollheiser,Santos,"MF,FW",25-073,804,0,0,0.5,1.8,2.4,19,47,52,10,26,39,10,3,30,22,16,2,40
Guilherme,Santos,FW,30-053,678,1,0,1.8,0.3,2.1,28,28,34,16,6,17,11,3,16,8,18,9,71
João Schmidt,Santos,MF,32-017,613,0,0,0.4,0.2,0.6,1,45,1,4,4,41,4,0,2,2,1,0,4
Tiquinho Soares,Santos,FW,34-139,623,0,1,1.7,0.4,1.3,3,9,1,13,5,11,2,0,11,5,2,0,20
Christian Rivera,Sport Recife,MF,29-142,661,0,0,0.1,0.1,0.2,3,25,0,10,2,18,2,0,3,1,5,0,4
Chrystian Barletta,Sport Recife,"FW,MF",23-335,788,2,0,1.6,0.3,1.9,32,23,24,11,6,11,12,3,44,20,12,11,75
Du Queiroz,Sport Recife,MF,25-137,615,0,0,0.5,0.5,1.0,16,36,7,0,8,30,11,4,12,2,6,2,28
Lucas Lima,Sport Recife,"MF,FW",34-331,779,0,2,0.5,1.3,1.8,14,64,64,12,25,40,24,5,13,8,14,4,37
Alisson,São Paulo,MF,31-345,838,0,0,0.4,0.2,0.6,11,45,5,10,5,44,5,2,6,3,1,0,5
André Silva,São Paulo,FW,28-002,713,2,1,2.8,2.0,3.9,7,11,5,9,8,7,4,1,12,0,6,5,38
Lucas Ferreira,São Paulo,FW,19-038,663,0,0,1.0,0.5,1.6,30,16,25,18,10,4,8,3,43,9,21,7,70
Hugo Moura,Vasco da Gama,MF,27-153,769,0,1,0.3,0.3,0.6,5,30,3,7,5,34,4,1,5,1,3,0,5
Nuno Gonçalo Moreira,Vasco da Gama,FW,25-354,765,2,1,1.0,1.2,2.2,26,52,29,15,12,32,13,6,25,11,10,7,66
Pablo Vegetti,Vasco da Gama,FW,36-233,827,7,1,4.8,0.5,5.3,0,7,2,8,4,2,0,0,2,0,0,0,17
Rayan Vitor,Vasco da Gama,FW,18-306,703,1,1,1.3,0.8,2.1,19,15,12,12,5,12,5,4,17,6,11,13,52
Janderson,Vitória,"FW,MF",26-030,729,1,0,0.7,0.3,1.0,9,12,5,6,6,5,1,0,26,11,19,2,33
Matheusinho,Vitória,MF,27-230,645,2,0,1.5,0.3,1.8,22,24,14,20,7,25,2,1,21,6,13,3,27
Ronald,Vitória,MF,27-352,650,0,0,0.1,0.5,0.6,15,42,7,6,11,39,7,0,15,10,10,2,16
